source,src,alt
"/blog/actualizaciones-web/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/agente-de-ia-tu-guia-definitiva-para-la-inteligencia-autonoma/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/agentes-de-ia-guia-completa-de-sistemas-inteligentes/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/alojar-web-en-cloudflare-pages-con-astro-y-resend/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/analitica-web-guia-completa-para-dominar-tus-datos-online/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/automatizacion-de-marketing-profesional/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/claude-code-gratis/index.html","/assets/blog/claude-code-gratis-1.webp",""
"/blog/claude-code-gratis/index.html","/assets/blog/claude-code-gratis-2.png",""
"/blog/claude-code-gratis/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/claude-vs-openclaw-guia-comparativa/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/consultoria-seo-guia-definitiva-para-el-exito-digital/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/copias-de-seguridad-tu-escudo-contra-la-perdida-de-datos/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/crea-tu-tienda-online-guia-completa-para-el-exito-digital/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/crear-clave-ssh-vps-en-hostinger/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/desarrollo-web-autonomo-la-guia-definitiva-para-el-exito-freelance/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/diseno-ux-ui-la-clave-para-productos-digitales-excepcionales/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/diseno-web-la-guia-definitiva-para-tu-presencia-online/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/ejercito-de-juniors/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/el-futuro-de-javascript-que-framework-dominara-en-2026/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/experto-en-automatizacion-rpa/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/experto-wordpress-tu-guia-definitiva-para-el-exito-digital/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/framework-python-2026-tendencias-y-predicciones-clave/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/gemini-cli/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/generacion-de-codigo-sintetico/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/guia-oca-vs-correo-argentino/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/guia-precios-mayoristas/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/guia-programacion-y-desarrollo-web/index.html","/assets/blog/editor-de-codigo-personalizado.png","editor de código personalizado"
"/blog/guia-programacion-y-desarrollo-web/index.html","/assets/blog/diseno-de-paginas-web.png","diseño de páginas web"
"/blog/guia-programacion-y-desarrollo-web/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/guia-servicio-de-oca-woocommerce/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/guia-woocommerce/index.html","/assets/blog/guia-woocommerce-1.webp",""
"/blog/guia-woocommerce/index.html","/assets/blog/guia-woocommerce-2.webp",""
"/blog/guia-woocommerce/index.html","/assets/blog/guia-woocommerce-3.webp",""
"/blog/guia-woocommerce/index.html","/assets/blog/guia-woocommerce-4.webp",""
"/blog/guia-woocommerce/index.html","/assets/blog/guia-woocommerce-5.webp",""
"/blog/guia-woocommerce/index.html","/assets/blog/guia-woocommerce-6.webp",""
"/blog/guia-woocommerce/index.html","/assets/blog/guia-woocommerce-7.webp",""
"/blog/guia-woocommerce/index.html","/assets/blog/guia-woocommerce-8.webp",""
"/blog/guia-woocommerce/index.html","/assets/blog/guia-woocommerce-9.webp",""
"/blog/guia-woocommerce/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/guia-woocommerce-desde-excel/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/guia-wordpress/index.html","/assets/blog/guia-wordpress-1.webp",""
"/blog/guia-wordpress/index.html","/assets/blog/guia-wordpress-2.webp",""
"/blog/guia-wordpress/index.html","/assets/blog/guia-wordpress-3.webp",""
"/blog/guia-wordpress/index.html","/assets/blog/guia-wordpress-4.webp",""
"/blog/guia-wordpress/index.html","/assets/blog/guia-wordpress-5.webp",""
"/blog/guia-wordpress/index.html","/assets/blog/guia-wordpress-6.webp",""
"/blog/guia-wordpress/index.html","/assets/blog/guia-wordpress-7.webp",""
"/blog/guia-wordpress/index.html","/assets/blog/guia-wordpress-8.webp",""
"/blog/guia-wordpress/index.html","/assets/blog/guia-wordpress-9.webp",""
"/blog/guia-wordpress/index.html","/assets/blog/guia-wordpress-10.webp",""
"/blog/guia-wordpress/index.html","/assets/blog/guia-wordpress-11.webp",""
"/blog/guia-wordpress/index.html","/assets/blog/guia-wordpress-12.webp",""
"/blog/guia-wordpress/index.html","/assets/blog/guia-wordpress-13.webp",""
"/blog/guia-wordpress/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/investigacion-de-palabras-clave-guia-completa-seo/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/landing-page/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/las-mejores-herramientas-de-marketing-digital-para-2024/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/mantenimiento-web-la-guia-definitiva-para-un-sitio-seguro-y-optimizado/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/marketing-digital-en-lanus-guia-completa-para-tu-negocio/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/monitorizacion-y-soporte-tecnico-web/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/optimizacion-de-velocidad-web-guia-definitiva-para-el-exito/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/posicionamiento-web-la-guia-definitiva-para-dominar-los-buscadores/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/prestashop-guia-completa-para-tu-tienda-online-exitosa/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/prompts-para-ia/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/restauracion-de-sitio-web-guia-completa-para-recuperar-tu-presencia/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/seguridad-web-protegiendo-tu-fortaleza-digital/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/seo-de-contenidos-guia-completa-para-dominar-el-ranking/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/seo-local-guia-completa-para-dominar-la-busqueda-local/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/seo-local-la-guia-definitiva-para-atraer-clientes-cercanos/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/seo-off-page-la-guia-definitiva-para-dominar-el-posicionamiento/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/seo-on-page-la-guia-definitiva-para-dominar-tu-web/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/servicios-de-programacion-y-desarrollo-web-mas-demandados-en-2026/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/sistema-multi-agente-con-ia/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/woocommerce-la-guia-definitiva-para-tu-tienda-online/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/wordpress-la-guia-definitiva-para-crear-tu-web-ideal/index.html","/assets/avatar.jpg","Esteban Selvaggi"